AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
6502,POLICE OFFICER                     ,M,W ,40 - 49,46,9TH DIVISION                                           ,SQUAD 2                                                ,19,978
6516,POLICE OFFICER                     ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,45,979
6521,POLICE OFFICER                     ,M,W ,50 - 59,57,NARCOTICS                                              ,FUGITIVE APPREHENSION SQUAD                            ,37,980
6522,POLICE SERGEANT                    ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,46,981
6524,POLICE MAJOR                       ,M,W ,50 - 59,53,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,30,982
6525,POLICE OFFICER                     ,M,W ,50 - 59,56,CANINE UNIT                                            ,2ND PLATOON                                            ,30,983
6526,POLICE OFFICER                     ,M,W ,50 - 59,52,FORMER EMPLOYEE                                        ,,19,984
6527,POLICE OFFICER C                   ,F,W ,50 - 59,51,FORMER EMPLOYEE                                        ,,19,985
6529,POLICE OFFICER                     ,M,W ,40 - 49,43,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,21,986
6531,POLICE LIEUTENANT                  ,M,W ,40 - 49,42,AIR PATROL                                             ,STAFF                                                  ,20,987
6532,POLICE OFFICER                     ,M,B ,50 - 59,53,8TH DIVISION                                           ,1ST PLATOON                                            ,20,988
6534,POLICE OFFICER C                   ,M,W ,40 - 49,49,FORMER EMPLOYEE                                        ,,19,989
6535,POLICE OFFICER                     ,F,B ,50 - 59,56,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,19,990
6538,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,24,991
6539,POLICE OFFICER                     ,F,W ,50 - 59,59,TRAINING                                               ,RECRUITING AND SELECTION                               ,36,992
6540,POLICE ASST CHIEF-LT COL           ,F,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,122,993
6543,POLICE SERGEANT                    ,M,W ,40 - 49,45,8TH DIVISION                                           ,2ND PLATOON                                            ,21,994
6545,POLICE ASST CHIEF-LT COL           ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,122,995
6552,POLICE SERGEANT                    ,M,W ,OVER 60,76,FORMER EMPLOYEE                                        ,,54,996
6553,POLICE OFFICER                     ,F,B ,50 - 59,56,TRAINING                                               ,RECRUITING AND SELECTION                               ,28,997
6560,POLICE OFFICER                     ,M,B ,50 - 59,56,FORMER EMPLOYEE                                        ,,28,998
6562,POLICE SERGEANT                    ,M,W ,50 - 59,59,4TH DIVISION                                           ,2ND PLATOON                                            ,28,999
6567,POLICE SERGEANT                    ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,30,1000
6568,POLICE MAJOR                       ,F,B ,OVER 60,65,FORMER EMPLOYEE                                        ,,122,1001
6572,POLICE SERGEANT                    ,M,W ,50 - 59,52,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,27,1002
6573,POLICE OFFICER                     ,M,W ,50 - 59,56,CANINE UNIT                                            ,3RD PLATOON                                            ,27,1003
6574,POLICE OFFICER A                   ,M,W ,50 - 59,51,FORMER EMPLOYEE                                        ,,31,1004
6577,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,36,1005
6578,POLICE OFFICER                     ,M,U ,50 - 59,57,FORMER EMPLOYEE                                        ,,29,1006
6579,POLICE OFFICER                     ,F,W ,50 - 59,52,TRAINING                                               ,RECRUITING AND SELECTION                               ,25,1007
6580,POLICE OFFICER                     ,M,W ,40 - 49,48,FORMER EMPLOYEE                                        ,,25,1008
6581,POLICE OFFICER                     ,M,W ,OVER 60,63,1ST DIVISION                                           ,2ND PLATOON                                            ,31,1009
6582,POLICE SERGEANT                    ,F,W ,50 - 59,51,COURT LIAISON OFFICE                                   ,STAFF                                                  ,23,1010
6583,POLICE OFFICER                     ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,34,1011
6584,POLICE SERGEANT                    ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,34,1012
6586,POLICE OFFICER                     ,M,W ,50 - 59,50,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,25,1013
6587,POLICE OFFICER                     ,F,B ,50 - 59,58,COURT LIAISON OFFICE                                   ,,35,1014
6588,POLICE OFFICER                     ,M,W ,OVER 60,62,8TH DIVISION                                           ,2ND PLATOON                                            ,36,1015
6589,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,41,1016
6592,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,40,1017
6597,POLICE OFFICER                     ,F,W ,40 - 49,49,7TH DIVISION                                           ,1ST PLATOON                                            ,25,1018
6607,POLICE MAJOR                       ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,0,1019
6612,POLICE OFFICER                     ,F,W ,OVER 60,63,8TH DIVISION                                           ,2ND PLATOON                                            ,16,1020
6616,POLICE OFFICER                     ,M,W ,50 - 59,52,FORMER EMPLOYEE                                        ,,27,1021
6617,POLICE SERGEANT                    ,M,W ,50 - 59,58,NARCOTICS                                              ,INTERDICTION SQUAD                                     ,35,1022
6623,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,35,1023
6626,POLICE OFFICER                     ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,43,1024
6629,POLICE SERGEANT                    ,M,W ,50 - 59,54,FORMER EMPLOYEE                                        ,,33,1025
6631,POLICE LIEUTENANT                  ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,39,1026
6634,POLICE OFFICER                     ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,42,1027
6635,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,34,1028
6642,POLICE MAJOR                       ,M,B ,OVER 60,62,SPECIAL OPERATIONS                                     ,STAFF                                                  ,37,1029
6643,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,37,1030
6644,POLICE OFFICER                     ,M,W ,OVER 60,64,8TH DIVISION                                           ,3RD PLATOON                                            ,16,1031
6645,POLICE SERGEANT                    ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,37,1032
